date,Android Sentiment
29/10/16,0
19/9/16,0.4
1/9/16,0
9/2/16,1
5/2/16,0
29/6/16,0.5
24/4/16,1
16/3/16,0
16/3/16,0.1
5/10/16,0.4625
31/12/16,0.272272727
30/12/16,0.104166667
30/12/16,0.574107143
28/12/16,-0.073333333
28/12/16,0.266666667
28/12/16,0.666666667
28/12/16,0.325
27/12/16,0.307083333
27/12/16,0.75
27/12/16,0.625
26/12/16,0.193452381
26/12/16,0
25/12/16,0.585227273
24/12/16,-0.325
24/12/16,-0.125
24/12/16,0.46875
23/12/16,0
23/12/16,0.15
23/12/16,-0.479166667
23/12/16,0.5
23/12/16,0
22/12/16,0.375
22/12/16,0.4
22/12/16,0
22/12/16,0.9
21/12/16,0.208333333
21/12/16,0.275
21/12/16,0.2125
20/12/16,0.716666667
20/12/16,0.025
20/12/16,0.16
19/12/16,0.8
19/12/16,0.033333333
18/12/16,-0.25
18/12/16,0
17/12/16,-0.0625
17/12/16,0.75
17/12/16,0.225
16/12/16,-0.25
15/12/16,-0.138333333
15/12/16,0.5
15/12/16,-0.213611111
13/12/16,0.40625
13/12/16,0.15
13/12/16,0.8
13/12/16,0.025
13/12/16,-0.068181818
13/12/16,0.175
13/12/16,0
12/12/16,-0.125
12/12/16,-0.075
12/12/16,-0.379166667
12/12/16,0
12/12/16,-0.247619048
12/12/16,0.5
11/12/16,0
11/12/16,0.45
11/12/16,0.333333333
11/12/16,0.5
10/12/16,-0.0125
10/12/16,0
10/12/16,0.4
8/12/16,0.6
8/12/16,-1
7/12/16,0.5
6/12/16,0.253787879
4/12/16,-0.1
4/12/16,0.002777778
4/12/16,0.65
4/12/16,-0.25
4/12/16,-0.3125
4/12/16,0.233333333
4/12/16,-0.25
4/12/16,-0.095833333
4/12/16,0.003787879
4/12/16,0
4/12/16,-0.170909091
3/12/16,0.311607143
3/12/16,-0.65625
3/12/16,0.2
3/12/16,0.625
1/12/16,0.427083333
1/12/16,0.7125
30/11/16,0.28
30/11/16,0.2
30/11/16,0.6
30/11/16,0.099431818
30/11/16,-0.8
30/11/16,0.5
30/11/16,0.53125
29/11/16,-0.0625
29/11/16,-0.3
29/11/16,0.866666667
29/11/16,0
29/11/16,0
29/11/16,-0.85
29/11/16,0
29/11/16,0
28/11/16,0.35
28/11/16,-0.132575758
27/11/16,0.358333333
27/11/16,0.4
27/11/16,0.2
27/11/16,-0.08
27/11/16,0.05
27/11/16,-0.9
27/11/16,-0.021875
27/11/16,0.4
27/11/16,-0.25
27/11/16,0
27/11/16,1
27/11/16,-0.522222222
26/11/16,-0.25
24/11/16,-0.364583333
24/11/16,0.9
23/11/16,0.05
22/11/16,0.4
22/11/16,0.16
22/11/16,-0.431818182
22/11/16,-0.15
22/11/16,0.766666667
22/11/16,0
20/11/16,0.558333333
20/11/16,0.147916667
20/11/16,0.077272727
20/11/16,0.25
20/11/16,-0.42
19/11/16,0.293428571
19/11/16,0.333333333
19/11/16,-0.104166667
19/11/16,-0.125
18/11/16,0.9
18/11/16,0.354166667
18/11/16,0
17/11/16,0.4125
16/11/16,0.345454545
16/11/16,0.1875
16/11/16,0.06875
16/11/16,0.05
16/11/16,0.14375
15/11/16,0
15/11/16,0.306666667
13/11/16,0.05
13/11/16,0.0625
13/11/16,0.84
13/11/16,0.925
13/11/16,0.8875
13/11/16,-0.7
13/11/16,-0.086666667
12/11/16,0.85
11/11/16,0.295454545
11/11/16,0.41
11/11/16,0.009375
11/11/16,0.58
9/11/16,0.45
8/11/16,0.108333333
8/11/16,0
8/11/16,0.4875
8/11/16,1
5/11/16,1
3/11/16,0.01875
3/11/16,0.15
2/11/16,0.136363636
2/11/16,0.75
2/11/16,-0.3125
2/11/16,-0.013888889
2/11/16,0.5
1/11/16,0
1/11/16,0.2
1/11/16,-0.2625
30/10/16,0
30/10/16,-0.2625
30/10/16,0.375
30/10/16,0.4
29/10/16,-0.109375
29/10/16,0
29/10/16,0.170454545
28/10/16,0.170454545
28/10/16,-0.65
27/10/16,0
27/10/16,0.5
27/10/16,-0.2
26/10/16,0
24/10/16,0.53125
24/10/16,0.066666667
23/10/16,0.208333333
23/10/16,0
23/10/16,0.203571429
22/10/16,0
22/10/16,0.5
22/10/16,0.224431818
22/10/16,0.2
21/10/16,0.195
20/10/16,-0.25
20/10/16,0.65
18/10/16,-0.0625
17/10/16,0.184090909
17/10/16,0.207272727
17/10/16,0
17/10/16,0.266666667
17/10/16,-0.080357143
17/10/16,0
17/10/16,-0.5
17/10/16,-0.05
17/10/16,0.025
16/10/16,0.766666667
16/10/16,0.5
16/10/16,-0.091666667
16/10/16,-0.019360269
16/10/16,0.066666667
16/10/16,-0.166666667
16/10/16,-0.02
16/10/16,0
16/10/16,0.267857143
16/10/16,-0.537878788
16/10/16,-0.5
16/10/16,0.478787879
15/10/16,0
15/10/16,0.3125
15/10/16,-0.1
15/10/16,0.133333333
15/10/16,0.144444444
13/10/16,0.125
12/10/16,0
11/10/16,0.033333333
11/10/16,0
11/10/16,0.35
11/10/16,-0.3625
10/10/16,-0.155
10/10/16,0.033333333
10/10/16,0.429166667
9/10/16,0.152777778
9/10/16,-0.260416667
9/10/16,-0.1625
9/10/16,-0.2
9/10/16,0.4
9/10/16,0
9/10/16,0.333333333
9/10/16,1
8/10/16,-0.447222222
8/10/16,0.419642857
5/10/16,0
5/10/16,0.5
5/10/16,0.104166667
5/10/16,0.175
5/10/16,0
5/10/16,0
5/10/16,1
5/10/16,-0.1
5/10/16,0.75
5/10/16,-0.166666667
5/10/16,0
5/10/16,0
5/10/16,-1
5/10/16,0
5/10/16,0.15
5/10/16,0.5
5/10/16,0.8
5/10/16,0
5/10/16,1
5/10/16,0.5
5/10/16,0.74375
5/10/16,0.1975
4/10/16,-0.366666667
2/10/16,-0.125
2/10/16,0
2/10/16,0.2
2/10/16,0.066666667
1/10/16,0.5
1/10/16,-0.26
1/10/16,-0.255
1/10/16,-0.35
30/9/16,-0.2875
30/9/16,-0.39
30/9/16,-0.416666667
30/9/16,-0.491666667
30/9/16,-0.43
30/9/16,0
30/9/16,-0.033333333
28/9/16,0.625
27/9/16,0.1875
27/9/16,0.25
27/9/16,0.65
27/9/16,0.375
27/9/16,0.55
26/9/16,0.245833333
26/9/16,0.141666667
25/9/16,0
25/9/16,0
25/9/16,-0.1875
24/9/16,0.8
24/9/16,0.777777778
24/9/16,-0.3671875
22/9/16,0
22/9/16,0.5
22/9/16,0.7
22/9/16,0
20/9/16,0.068181818
19/9/16,0.066666667
19/9/16,0.3125
18/9/16,0
17/9/16,-0.16875
17/9/16,0.425
17/9/16,-0.85
17/9/16,-0.129166667
17/9/16,-0.4125
17/9/16,0
17/9/16,-0.1
17/9/16,0.5
16/9/16,0.066287879
16/9/16,0.4375
16/9/16,0
15/9/16,0.5
15/9/16,0
15/9/16,0.125
14/9/16,0.4
14/9/16,0
13/9/16,0.3
13/9/16,-0.104166667
12/9/16,0.5
12/9/16,0
11/9/16,0.008333333
10/9/16,0.166666667
10/9/16,-0.1875
10/9/16,-0.625
10/9/16,-0.166145833
10/9/16,1
10/9/16,0
10/9/16,0.9
10/9/16,-0.063888889
10/9/16,0
9/9/16,0.105
