Date,Android,,Total Date,iPhone Frequency,Android Frequency
1/1/16,11,,2016-01-01,3,11
2/1/16,8,,2016-01-02,3,8
3/1/16,14,,2016-01-03,4,14
4/1/16,2,,2016-01-06,4,11
5/1/16,11,,2016-01-08,6,7
6/1/16,11,,2016-01-09,7,3
7/1/16,5,,2016-01-10,9,4
8/1/16,7,,2016-01-11,10,0
9/1/16,3,,2016-01-12,3,8
10/1/16,4,,2016-01-13,9,5
12/1/16,8,,2016-01-14,7,7
13/1/16,5,,2016-01-15,1,3
14/1/16,7,,2016-01-16,9,13
15/1/16,3,,2016-01-17,2,4
16/1/16,13,,2016-01-18,6,1
17/1/16,4,,2016-01-19,12,4
18/1/16,1,,2016-01-20,10,2
19/1/16,4,,2016-01-21,6,9
20/1/16,2,,2016-01-22,13,17
21/1/16,9,,2016-01-23,17,8
22/1/16,17,,2016-01-24,6,12
23/1/16,8,,2016-01-25,12,6
24/1/16,12,,2016-01-26,12,15
25/1/16,6,,2016-01-27,4,4
26/1/16,15,,2016-01-28,9,20
27/1/16,4,,2016-01-29,17,3
28/1/16,20,,2016-01-30,5,9
29/1/16,3,,2016-01-31,4,12
30/1/16,9,,2016-02-01,1,1
31/1/16,12,,2016-02-02,1,5
1/2/16,1,,2016-02-03,6,8
2/2/16,5,,2016-02-04,8,1
3/2/16,8,,2016-02-05,4,4
4/2/16,1,,2016-02-06,8,11
5/2/16,4,,2016-02-07,10,15
6/2/16,11,,2016-02-08,7,3
7/2/16,15,,2016-02-09,5,10
8/2/16,3,,2016-02-10,4,5
9/2/16,10,,2016-02-11,3,10
10/2/16,5,,2016-02-12,11,5
11/2/16,10,,2016-02-13,9,14
12/2/16,5,,2016-02-14,14,7
13/2/16,14,,2016-02-15,5,4
14/2/16,7,,2016-02-16,8,2
15/2/16,4,,2016-02-17,8,10
16/2/16,2,,2016-02-18,6,6
17/2/16,10,,2016-02-19,12,4
18/2/16,6,,2016-02-22,2,16
19/2/16,4,,2016-02-23,10,16
20/2/16,17,,2016-02-24,7,13
21/2/16,8,,2016-02-25,10,13
22/2/16,16,,2016-02-26,15,13
23/2/16,16,,2016-02-27,5,13
24/2/16,13,,2016-02-28,11,17
25/2/16,13,,2016-02-29,12,1
26/2/16,13,,2016-03-01,8,1
27/2/16,13,,2016-03-02,13,11
28/2/16,17,,2016-03-03,4,14
29/2/16,1,,2016-03-04,10,2
1/3/16,1,,2016-03-05,14,5
2/3/16,11,,2016-03-06,10,5
3/3/16,14,,2016-03-07,3,11
4/3/16,2,,2016-03-08,13,8
5/3/16,5,,2016-03-09,9,0
6/3/16,5,,2016-03-11,7,3
7/3/16,11,,2016-03-12,9,8
8/3/16,8,,2016-03-13,5,5
10/3/16,1,,2016-03-14,6,0
11/3/16,3,,2016-03-15,5,22
12/3/16,8,,2016-03-16,8,13
13/3/16,5,,2016-03-18,7,6
15/3/16,22,,2016-03-19,12,13
16/3/16,13,,2016-03-20,5,10
17/3/16,9,,2016-03-22,6,4
18/3/16,6,,2016-03-23,2,9
19/3/16,13,,2016-03-24,2,22
20/3/16,10,,2016-03-27,1,7
21/3/16,1,,2016-03-28,1,10
22/3/16,4,,2016-03-29,7,8
23/3/16,9,,2016-03-30,6,0
24/3/16,22,,2016-03-31,5,2
25/3/16,1,,2016-04-01,3,2
26/3/16,13,,2016-04-02,5,4
27/3/16,7,,2016-04-03,7,6
28/3/16,10,,2016-04-04,8,1
29/3/16,8,,2016-04-05,6,4
31/3/16,2,,2016-04-07,3,0
1/4/16,2,,2016-04-09,1,12
2/4/16,4,,2016-04-10,1,14
3/4/16,6,,2016-04-11,5,7
4/4/16,1,,2016-04-12,5,0
5/4/16,4,,2016-04-13,3,1
8/4/16,9,,2016-04-14,3,3
9/4/16,12,,2016-04-15,3,0
10/4/16,14,,2016-04-16,5,9
11/4/16,7,,2016-04-17,5,5
13/4/16,1,,2016-04-19,3,4
14/4/16,3,,2016-04-20,3,5
16/4/16,9,,2016-04-21,4,3
17/4/16,5,,2016-04-22,4,0
18/4/16,3,,2016-04-23,8,1
19/4/16,4,,2016-04-25,3,5
20/4/16,5,,2016-04-26,11,1
21/4/16,3,,2016-04-27,13,0
23/4/16,1,,2016-04-28,5,8
24/4/16,8,,2016-04-29,4,3
25/4/16,5,,2016-04-30,1,5
26/4/16,1,,2016-05-01,8,1
28/4/16,8,,2016-05-02,7,4
29/4/16,3,,2016-05-03,8,3
30/4/16,5,,2016-05-04,1,6
1/5/16,1,,2016-05-05,2,0
2/5/16,4,,2016-05-06,8,6
3/5/16,3,,2016-05-07,5,3
4/5/16,6,,2016-05-08,3,4
6/5/16,6,,2016-05-09,2,12
7/5/16,3,,2016-05-10,2,7
8/5/16,4,,2016-05-11,3,3
9/5/16,12,,2016-05-12,2,0
10/5/16,7,,2016-05-14,1,2
11/5/16,3,,2016-05-15,1,13
13/5/16,1,,2016-05-16,2,4
14/5/16,2,,2016-05-17,2,15
15/5/16,13,,2016-05-18,4,40
16/5/16,4,,2016-05-19,1,3
17/5/16,15,,2016-05-20,7,7
18/5/16,40,,2016-05-21,3,7
19/5/16,3,,2016-05-22,5,5
20/5/16,7,,2016-05-24,2,5
21/5/16,7,,2016-05-25,5,13
22/5/16,5,,2016-05-26,6,1
23/5/16,2,,2016-05-27,3,2
24/5/16,5,,2016-05-28,9,2
25/5/16,13,,2016-05-29,3,3
26/5/16,1,,2016-05-31,5,4
27/5/16,2,,2016-06-01,1,2
28/5/16,2,,2016-06-02,4,17
29/5/16,3,,2016-06-03,10,9
30/5/16,13,,2016-06-04,1,7
31/5/16,4,,2016-06-06,2,5
1/6/16,2,,2016-06-07,1,3
2/6/16,17,,2016-06-08,6,11
3/6/16,9,,2016-06-09,2,9
