Date,Android,,Total Date,iPhone Frequency,Android Frequency
1/1/16,11,,1/1/16,3,11
2/1/16,8,,2/1/16,3,8
3/1/16,14,,3/1/16,4,14
4/1/16,2,,6/1/16,4,11
5/1/16,11,,8/1/16,6,7
6/1/16,11,,9/1/16,7,3
7/1/16,5,,10/1/16,9,4
8/1/16,7,,11/1/16,10,0
9/1/16,3,,12/1/16,3,8
10/1/16,4,,13/1/16,9,5
12/1/16,8,,14/1/16,7,7
13/1/16,5,,15/1/16,1,3
14/1/16,7,,16/1/16,9,13
15/1/16,3,,17/1/16,2,4
16/1/16,13,,18/1/16,6,1
17/1/16,4,,19/1/16,12,4
18/1/16,1,,20/1/16,10,2
19/1/16,4,,21/1/16,6,9
20/1/16,2,,22/1/16,13,17
21/1/16,9,,23/1/16,17,8
22/1/16,17,,24/1/16,6,12
23/1/16,8,,25/1/16,12,6
24/1/16,12,,26/1/16,12,15
25/1/16,6,,27/1/16,4,4
26/1/16,15,,28/1/16,9,20
27/1/16,4,,29/1/16,17,3
28/1/16,20,,30/1/16,5,9
29/1/16,3,,31/1/16,4,12
30/1/16,9,,1/2/16,1,1
31/1/16,12,,2/2/16,1,5
1/2/16,1,,3/2/16,6,8
2/2/16,5,,4/2/16,8,1
3/2/16,8,,5/2/16,4,4
4/2/16,1,,6/2/16,8,11
5/2/16,4,,7/2/16,10,15
6/2/16,11,,8/2/16,7,3
7/2/16,15,,9/2/16,5,10
8/2/16,3,,10/2/16,4,5
9/2/16,10,,11/2/16,3,10
10/2/16,5,,12/2/16,11,5
11/2/16,10,,13/2/16,9,14
12/2/16,5,,14/2/16,14,7
13/2/16,14,,15/2/16,5,4
14/2/16,7,,16/2/16,8,2
15/2/16,4,,17/2/16,8,10
16/2/16,2,,18/2/16,6,6
17/2/16,10,,19/2/16,12,4
18/2/16,6,,22/2/16,2,16
19/2/16,4,,23/2/16,10,16
20/2/16,17,,24/2/16,7,13
21/2/16,8,,25/2/16,10,13
22/2/16,16,,26/2/16,15,13
23/2/16,16,,27/2/16,5,13
24/2/16,13,,28/2/16,11,17
25/2/16,13,,29/2/16,12,1
26/2/16,13,,1/3/16,8,1
27/2/16,13,,2/3/16,13,11
28/2/16,17,,3/3/16,4,14
29/2/16,1,,4/3/16,10,2
1/3/16,1,,5/3/16,14,5
2/3/16,11,,6/3/16,10,5
3/3/16,14,,7/3/16,3,11
4/3/16,2,,8/3/16,13,8
5/3/16,5,,9/3/16,9,0
6/3/16,5,,11/3/16,7,3
7/3/16,11,,12/3/16,9,8
8/3/16,8,,13/3/16,5,5
10/3/16,1,,14/3/16,6,0
11/3/16,3,,15/3/16,5,22
12/3/16,8,,16/3/16,8,13
13/3/16,5,,18/3/16,7,6
15/3/16,22,,19/3/16,12,13
16/3/16,13,,20/3/16,5,10
17/3/16,9,,22/3/16,6,4
18/3/16,6,,23/3/16,2,9
19/3/16,13,,24/3/16,2,22
20/3/16,10,,27/3/16,1,7
21/3/16,1,,28/3/16,1,10
22/3/16,4,,29/3/16,7,8
23/3/16,9,,30/3/16,6,0
24/3/16,22,,31/3/16,5,2
25/3/16,1,,1/4/16,3,2
26/3/16,13,,2/4/16,5,4
27/3/16,7,,3/4/16,7,6
28/3/16,10,,4/4/16,8,1
29/3/16,8,,5/4/16,6,4
31/3/16,2,,7/4/16,3,0
1/4/16,2,,9/4/16,1,12
2/4/16,4,,10/4/16,1,14
3/4/16,6,,11/4/16,5,7
4/4/16,1,,12/4/16,5,0
5/4/16,4,,13/4/16,3,1
8/4/16,9,,14/4/16,3,3
9/4/16,12,,15/4/16,3,0
10/4/16,14,,16/4/16,5,9
11/4/16,7,,17/4/16,5,5
13/4/16,1,,19/4/16,3,4
14/4/16,3,,20/4/16,3,5
16/4/16,9,,21/4/16,4,3
17/4/16,5,,22/4/16,4,0
18/4/16,3,,23/4/16,8,1
19/4/16,4,,25/4/16,3,5
20/4/16,5,,26/4/16,11,1
21/4/16,3,,27/4/16,13,0
23/4/16,1,,28/4/16,5,8
24/4/16,8,,29/4/16,4,3
25/4/16,5,,30/4/16,1,5
26/4/16,1,,1/5/16,8,1
28/4/16,8,,2/5/16,7,4
29/4/16,3,,3/5/16,8,3
30/4/16,5,,4/5/16,1,6
1/5/16,1,,5/5/16,2,0
2/5/16,4,,6/5/16,8,6
3/5/16,3,,7/5/16,5,3
4/5/16,6,,8/5/16,3,4
6/5/16,6,,9/5/16,2,12
7/5/16,3,,10/5/16,2,7
8/5/16,4,,11/5/16,3,3
9/5/16,12,,12/5/16,2,0
10/5/16,7,,14/5/16,1,2
11/5/16,3,,15/5/16,1,13
13/5/16,1,,16/5/16,2,4
14/5/16,2,,17/5/16,2,15
15/5/16,13,,18/5/16,4,40
16/5/16,4,,19/5/16,1,3
17/5/16,15,,20/5/16,7,7
18/5/16,40,,21/5/16,3,7
19/5/16,3,,22/5/16,5,5
20/5/16,7,,24/5/16,2,5
21/5/16,7,,25/5/16,5,13
22/5/16,5,,26/5/16,6,1
23/5/16,2,,27/5/16,3,2
24/5/16,5,,28/5/16,9,2
25/5/16,13,,29/5/16,3,3
26/5/16,1,,31/5/16,5,4
27/5/16,2,,1/6/16,1,2
28/5/16,2,,2/6/16,4,17
29/5/16,3,,3/6/16,10,9
30/5/16,13,,4/6/16,1,7
31/5/16,4,,6/6/16,2,5
1/6/16,2,,7/6/16,1,3
2/6/16,17,,8/6/16,6,11
3/6/16,9,,9/6/16,2,9
4/6/16,7,,10/6/16,6,6
5/6/16,3,,11/6/16,8,3
6/6/16,5,,12/6/16,4,4
7/6/16,3,,13/6/16,8,3
8/6/16,11,,14/6/16,3,2
9/6/16,9,,15/6/16,4,4
10/6/16,6,,16/6/16,5,1
11/6/16,3,,17/6/16,7,4
12/6/16,4,,18/6/16,4,1
13/6/16,3,,19/6/16,5,1
14/6/16,2,,21/6/16,1,2
15/6/16,4,,22/6/16,1,2
