id,text,Sentiment,device,date
7.89E+17,It is time to #DrainTheSwamp!https://t.co/U2XeM2vDJK,0,Twitter for iPhone,19/10/16
7.87E+17,Thank you! #MAGA #AmericaFirst https://t.co/fG313wjlKm,0,Twitter for iPhone,13/10/16
7.56E+17,#AmericaFirst #RNCinCLE https://t.co/PvdTA8HTCC,0,Twitter for iPhone,21/7/16
7.41E+17,#FlashbackFriday #CrookedHillary https://t.co/pvrBb7v4NG,0,Twitter for iPhone,10/6/16
7.25E+17,Thanks Dave! https://t.co/NaPPQNjVi2,0.25,Twitter for iPhone,27/4/16
7.25E+17,Thanks! https://t.co/5jiSyvQiNj,0.25,Twitter for iPhone,27/4/16
7.11E+17,Landing in Phoenix now. Tomorrow's events will be amazing! #Trump2016,0.75,Twitter for iPhone,19/3/16
7.08E+17,Great news! Thank you Governor Ralph DLG Torres! #Trump2016  https://t.co/hXwAK3iyPk,1,Twitter for iPhone,11/3/16
7.07E+17,Thank you Michigan! #Trump2016 https://t.co/ttwwvrTjwE,0,Twitter for iPhone,6/3/16
7.06E+17,#CaucusForTrump #Trump2016  https://t.co/pTUlDXgPkP,0,Twitter for iPhone,5/3/16
6.83E+17,#HappyNewYearAmerica! https://t.co/EeQb8PDrUe,0,Twitter for iPhone,1/1/16
9.38E+17,MAKE AMERICA GREAT AGAIN!,1,Twitter for iPhone,6/12/17
9.39E+17,MAKE AMERICA GREAT AGAIN! https://t.co/64a93S07s7,1,Twitter for iPhone,8/12/17
9.35E+17,Thank you Rand! https://t.co/NvPeleVmub,0,Twitter for iPhone,28/11/17
9.25E+17,Thank you @LuisRiveraMarin! https://t.co/BK7sDv9phU,0,Twitter for iPhone,31/10/17
9.00E+17,"Join me live from Fort Myer in Arlington, Virginia. ➡️https://t.co/LOV4StdJDj",0.136363636,Twitter for iPhone,22/8/17
8.94E+17,Thank you Nicole! https://t.co/KlWN05uFOx,0,Twitter for iPhone,5/8/17
8.91E+17,U.S. Stock Market up almost 20% since Election!,0,Twitter for iPhone,29/7/17
8.82E+17,Thank you to Shawn Steel for the nice words on @FoxNews.,0.6,Twitter for iPhone,3/7/17
8.78E+17,Great night in Iowa - special people. Thank you!,0.623214286,Twitter for iPhone,22/6/17
8.79E+17,MAKE AMERICA GREAT AGAIN!,1,Twitter for iPhone,24/6/17
8.74E+17,"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!",0.5,Twitter for iPhone,12/6/17
8.63E+17,The Fake Media is working overtime today!,-0.625,Twitter for iPhone,12/5/17
8.56E+17,"Thank you Lake Worth, Florida. @foxandfriends",0.3,Twitter for iPhone,23/4/17
8.60E+17,Congratulations to @foxandfriends on its unbelievable ratings hike.,-0.25,Twitter for iPhone,4/5/17
8.53E+17,Weekly Address- https://t.co/tpZ7eqJLUH https://t.co/B2NQzj53ft,0,Twitter for iPhone,14/4/17
8.42E+17,"JOBS, JOBS, JOBS! https://t.co/wAkQMKdPXA",0,Twitter for iPhone,14/3/17
8.32E+17,'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh,0,Twitter for iPhone,16/2/17
8.13E+17,Happy #Hanukkah https://t.co/UvZwtykV1E,0.8,Twitter for iPhone,24/12/16
7.56E+17,Watching the #GOPConvention#AmericaFirst #RNCinCLE,0,Twitter for iPhone,20/7/16
7.15E+17,MAKE AMERICA GREAT AGAIN!https://t.co/0w4ldD7dW3,0.8,Twitter for iPhone,29/3/16
7.05E+17,Thank you Arkansas! #Trump2016#SuperTuesday,0,Twitter for iPhone,2/3/16
7.05E+17,Thank you Virginia! #Trump2016#SuperTuesday,0,Twitter for iPhone,2/3/16
7.94E+17,Trump promises special session to repeal Obamacare: https://t.co/wTCd108yrV,0.357142857,Twitter for iPhone,1/11/16
7.88E+17,Yet more evidence of a media-rigged election: https://t.co/rVh4ocgx3r,0.5,Twitter for iPhone,17/10/16
9.28E+17,#USA🇺🇸 #Japan🇯🇵 https://t.co/EvxFqAVnFS,0,Twitter for iPhone,6/11/17
7.05E+17,Thank you Alabama! #Trump2016#SuperTuesday,0,Twitter for iPhone,2/3/16
8.82E+17,#FraudNewsCNN #FNN https://t.co/WYUnHjjUjg,0,Twitter for iPhone,2/7/17
7.05E+17,Thank you Tennessee! #Trump2016#SuperTuesday,0,Twitter for iPhone,2/3/16
7.05E+17,Thank you Massachusetts! #Trump2016 #SuperTuesday,0,Twitter for iPhone,2/3/16
7.05E+17,Thank you Georgia!#SuperTuesday #Trump2016,0,Twitter for iPhone,2/3/16
7.04E+17,#MakeAmericaGreatAgain #Trump2016 https://t.co/yFhZd55GD9,0,Twitter for iPhone,28/2/16
9.24E+17,Will be another Sean success! https://t.co/SlNTENvJLA,0.375,Twitter for iPhone,26/10/17
